prompt_index,run_ms
1,53201
2,53626
3,47672
4,68801
5,55849
6,61603
7,48103
8,41832
10,43038
11,55084
12,51755
13,63721
14,39278
15,42713
16,46911
17,48429
18,60477
19,51841
20,41033
21,60455
22,40532
23,56330
24,60328
25,82203
26,72776
27,58683
28,49719
29,42419
30,42965
31,53362
32,59223
33,40230
34,80256
35,41729
36,60602
37,54850
38,56951
39,42756
40,37091
41,41760
42,74097
43,68072
44,40122
45,87799
46,42994
47,55466
48,40231
49,44121
50,79311
51,75786
52,48355
53,45727
54,40405
55,40245
56,63802
57,61129
58,44321
59,57027
60,44669
61,44719
62,62777
63,40786
64,55622
65,58258
66,58569
67,60027
68,66122
69,95399
70,45134
71,56383
72,46384
73,63430
74,64533
75,43449
76,46667
77,62208
78,57659
79,63024
80,52822
81,55079
82,52982
83,69914
84,61900
85,45721
86,44512
87,44659
88,40624
89,66569
90,71402
91,43842
92,73905
93,66157
94,85099
95,69518
96,40287
97,43555
98,92330
99,51477
100,56231
9,46036
